marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	7	23	23	0	23	23	0	24	24	0
Am-AG-10	0	0	0	0	1	1	0	1	0	1
Am-AG-11	3	4	4	0	22	22	0	8	7	1
Am-AG-2B	4	8	8	0	10	10	0	831	830	1
Am-AG-4B	5	16	16	0	18	18	0	17	17	0
Am-ATC-2	0	0	0	0	3	3	0	3	1	2
Am-ATC-3	97	630	629	1	636	635	1	907	905	2
Am-CT-2	125	766	766	0	775	775	0	787	787	0
Am-CT-5	0	0	0	0	8	8	0	2	1	1
Arm01	4	4	4	0	10	10	0	4	4	0
Arm02	65	480	480	0	485	485	0	494	494	0
Arm03	16	134	134	0	189	189	0	136	136	0
Arm04	0	0	0	0	5	4	1	1	1	0
Arm05	41	383	383	0	384	383	1	387	387	0
Arm06	9	75	75	0	75	75	0	79	79	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	0	0	0	0	0	0	0	0	0	0
Arm09	11	54	54	0	55	54	1	97	97	0
Arm10	162	3623	3623	0	3643	3643	0	3625	3625	0
Arm11	0	0	0	0	1	0	1	0	0	0
Armo01	29	313	313	0	315	315	0	313	313	0
Armo02	1	1	1	0	2	2	0	23	23	0
Armo03	69	493	493	0	502	502	0	499	499	0

total reads	8505
unrecognised reads	381
