marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	137	1663	1663	0	1671	1671	0	1667	1667	0
Am-AG-10	7	21	21	0	22	21	1	30	27	3
Am-AG-11	14	47	47	0	47	47	0	57	55	2
Am-AG-2B	86	886	886	0	897	897	0	1784	1784	0
Am-AG-4B	74	822	821	1	840	836	4	825	824	1
Am-ATC-2	1	1	1	0	5	5	0	512	512	0
Am-ATC-3	8	14	14	0	973	972	1	22	21	1
Am-CT-2	8	12	12	0	910	910	0	1004	1004	0
Am-CT-5	28	330	330	0	333	332	1	330	330	0
Arm01	65	1029	1029	0	1187	1187	0	1110	1109	1
Arm02	163	1594	1594	0	1683	1683	0	1787	1787	0
Arm03	1	4	4	0	648	648	0	6	6	0
Arm04	115	880	880	0	943	943	0	950	949	1
Arm05	51	381	381	0	382	382	0	383	383	0
Arm06	1	3	3	0	3	3	0	4	4	0
Arm07	0	0	0	0	1	1	0	1	1	0
Arm08	2	18	18	0	18	18	0	19	18	1
Arm09	4	29	29	0	29	29	0	335	335	0
Arm10	108	2278	2278	0	2321	2321	0	2311	2311	0
Arm11	74	699	699	0	705	705	0	699	699	0
Armo01	4	5	5	0	6	6	0	5	5	0
Armo02	1	5	5	0	6	5	1	384	383	1
Armo03	9	44	44	0	76	76	0	280	280	0

total reads	14551
unrecognised reads	6
