marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	111	983	983	0	1010	1010	0	1669	1667	2
Am-AG-10	6	11	11	0	12	11	1	15	11	4
Am-AG-11	4	8	8	0	28	28	0	21	19	2
Am-AG-2B	294	3953	3953	0	4016	4016	0	3971	3971	0
Am-AG-4B	16	157	157	0	816	814	2	501	500	1
Am-ATC-2	0	0	0	0	187	187	0	2512	2508	4
Am-ATC-3	16	50	50	0	1756	1752	4	1921	1921	0
Am-CT-2	6	16	16	0	22	22	0	554	553	1
Am-CT-5	19	165	165	0	517	514	3	172	171	1
Arm01	146	1810	1810	0	2112	2112	0	2089	2084	5
Arm02	135	1692	1692	0	1808	1808	0	1886	1886	0
Arm03	1	3	3	0	1345	1345	0	5	5	0
Arm04	224	2123	2123	0	2497	2495	2	2482	2482	0
Arm05	189	2066	2066	0	2070	2070	0	2077	2077	0
Arm06	13	42	42	0	88	88	0	66	66	0
Arm07	0	0	0	0	0	0	0	4	3	1
Arm08	16	156	156	0	156	156	0	160	160	0
Arm09	0	0	0	0	3	2	1	790	790	0
Arm10	180	3516	3516	0	3867	3866	1	3894	3894	0
Arm11	185	2588	2588	0	2613	2613	0	2594	2594	0
Armo01	19	124	124	0	126	125	1	124	124	0
Armo02	0	0	0	0	235	235	0	876	876	0
Armo03	1	1	1	0	3	3	0	10	10	0

total reads	28582
unrecognised reads	20
