marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	54	393	0	393	396	0	396	401	0	401
Am-AG-10	48	331	0	331	355	0	355	381	0	381
Am-AG-11	86	435	0	435	438	0	438	467	1	466
Am-AG-2B	8	24	0	24	157	0	157	159	0	159
Am-AG-4B	61	281	0	281	334	1	333	296	0	296
Am-ATC-2	6	20	0	20	45	0	45	368	5	363
Am-ATC-3	84	703	0	703	798	0	798	739	2	737
Am-CT-2	68	265	0	265	267	0	267	268	0	268
Am-CT-5	0	0	0	0	4	0	4	0	0	0
Arm01	30	422	0	422	553	0	553	524	0	524
Arm02	73	492	0	492	551	1	550	627	0	627
Arm03	12	96	0	96	227	0	227	149	0	149
Arm04	2	4	0	4	81	0	81	11	0	11
Arm05	8	16	0	16	16	0	16	20	0	20
Arm06	8	88	0	88	160	0	160	90	0	90
Arm07	1	2	0	2	2	0	2	320	2	318
Arm08	2	10	0	10	12	0	12	10	0	10
Arm09	0	0	0	0	0	0	0	80	0	80
Arm10	55	972	0	972	1030	0	1030	1164	1	1163
Arm11	33	339	0	339	653	0	653	342	0	342
Armo01	1	1	0	1	7	0	7	4	0	4
Armo02	0	0	0	0	1	0	1	120	0	120
Armo03	59	392	0	392	395	1	394	396	0	396

total reads	7178
unrecognised reads	59
