marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	9	30	30	0	30	30	0	30	30	0
Am-AG-10	6	6	6	0	6	6	0	9	7	2
Am-AG-11	11	21	21	0	49	49	0	40	38	2
Am-AG-2B	226	2158	2158	0	2172	2172	0	2169	2169	0
Am-AG-4B	8	23	23	0	25	25	0	24	24	0
Am-ATC-2	1	1	1	0	1	1	0	267	267	0
Am-ATC-3	19	83	83	0	85	85	0	84	83	1
Am-CT-2	1	1	1	0	1	1	0	1	1	0
Am-CT-5	5	45	45	0	62	62	0	48	46	2
Arm01	3	6	6	0	9	9	0	9	9	0
Arm02	2	6	6	0	7	7	0	7	7	0
Arm03	0	0	0	0	47	47	0	0	0	0
Arm04	5	13	13	0	16	16	0	22	22	0
Arm05	0	0	0	0	0	0	0	1	1	0
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	189	188	1
Arm08	2	12	12	0	12	12	0	12	12	0
Arm09	0	0	0	0	0	0	0	0	0	0
Arm10	114	1479	1479	0	1495	1495	0	1486	1486	0
Arm11	27	225	225	0	409	409	0	225	225	0
Armo01	1	1	1	0	1	1	0	3	2	1
Armo02	0	0	0	0	1	1	0	47	47	0
Armo03	0	0	0	0	0	0	0	0	0	0

total reads	4717
unrecognised reads	2
