marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	327	2913	2913	0	2941	2941	0	2924	2924	0
Am-AG-10	30	250	250	0	259	259	0	268	265	3
Am-AG-11	276	1867	1867	0	1886	1886	0	1876	1874	2
Am-AG-2B	283	1813	1813	0	1839	1839	0	1825	1825	0
Am-AG-4B	286	1784	1784	0	1852	1851	1	1798	1798	0
Am-ATC-2	7	23	23	0	23	23	0	25	25	0
Am-ATC-3	17	112	112	0	116	115	1	112	112	0
Am-CT-2	2	5	5	0	5	5	0	5	5	0
Am-CT-5	1	1	1	0	3	3	0	2	2	0
Arm01	117	1226	1226	0	1300	1300	0	1294	1292	2
Arm02	224	1518	1518	0	1595	1595	0	1576	1576	0
Arm03	3	3	3	0	82	82	0	5	5	0
Arm04	156	854	854	0	913	913	0	895	895	0
Arm05	27	194	194	0	197	197	0	195	195	0
Arm06	3	6	6	0	7	7	0	6	6	0
Arm07	0	0	0	0	0	0	0	1	0	1
Arm08	7	28	28	0	28	28	0	28	28	0
Arm09	2	5	5	0	5	5	0	7	7	0
Arm10	146	2326	2326	0	2349	2349	0	2362	2362	0
Arm11	140	1119	1119	0	1133	1133	0	1121	1121	0
Armo01	5	5	5	0	7	7	0	6	6	0
Armo02	0	0	0	0	0	0	0	77	77	0
Armo03	2	8	8	0	8	8	0	8	8	0

total reads	16597
unrecognised reads	19
