marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	215	2241	2241	0	2253	2253	0	2246	2246	0
Am-AG-10	79	1269	1269	0	1291	1291	0	1325	1323	2
Am-AG-11	375	2350	2350	0	2418	2416	2	2385	2381	4
Am-AG-2B	180	1959	1959	0	2009	2009	0	1973	1973	0
Am-AG-4B	172	1780	1780	0	1833	1833	0	1788	1788	0
Am-ATC-2	6	12	12	0	20	20	0	886	886	0
Am-ATC-3	225	2086	2085	1	2098	2097	1	2109	2107	2
Am-CT-2	49	303	303	0	306	305	1	325	325	0
Am-CT-5	2	3	3	0	4	4	0	4	4	0
Arm01	30	295	295	0	358	358	0	339	339	0
Arm02	34	262	262	0	281	281	0	285	285	0
Arm03	7	54	54	0	179	179	0	61	61	0
Arm04	23	193	193	0	220	220	0	211	211	0
Arm05	22	147	147	0	147	147	0	147	147	0
Arm06	23	97	97	0	123	123	0	104	104	0
Arm07	1	1	1	0	1	1	0	3	3	0
Arm08	15	111	111	0	111	111	0	111	111	0
Arm09	11	66	66	0	67	66	1	104	104	0
Arm10	41	409	409	0	437	437	0	472	472	0
Arm11	34	289	289	0	290	290	0	289	289	0
Armo01	24	88	88	0	89	89	0	89	88	1
Armo02	0	0	0	0	3	3	0	142	142	0
Armo03	32	195	195	0	196	196	0	197	197	0

total reads	15726
unrecognised reads	12
