marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	371	4600	4599	1	4640	4639	1	5873	5872	1
Am-AG-10	104	1568	1568	0	1683	1683	0	2052	2046	6
Am-AG-11	203	3224	3224	0	5968	5966	2	3983	3979	4
Am-AG-2B	16	78	78	0	115	115	0	561	561	0
Am-AG-4B	276	3177	3177	0	3600	3599	1	4609	4604	5
Am-ATC-2	3	5	5	0	10	10	0	195	194	1
Am-ATC-3	133	1340	1340	0	1348	1348	0	1366	1366	0
Am-CT-2	106	733	732	1	745	743	2	743	741	2
Am-CT-5	5	5	5	0	16	16	0	30	30	0
Arm01	57	665	665	0	1161	1159	2	747	747	0
Arm02	121	1627	1626	1	1702	1701	1	1803	1802	1
Arm03	1	1	1	0	800	799	1	2	2	0
Arm04	13	48	48	0	53	53	0	66	66	0
Arm05	3	4	4	0	4	4	0	5	5	0
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	1	0	1	0	0	0
Arm08	1	5	5	0	114	113	1	116	115	1
Arm09	0	0	0	0	4	3	1	409	409	0
Arm10	146	3255	3255	0	3330	3327	3	3299	3299	0
Arm11	28	284	284	0	289	286	3	286	286	0
Armo01	1	1	1	0	1	1	0	1	1	0
Armo02	0	0	0	0	1	0	1	393	392	1
Armo03	1	2	2	0	63	63	0	382	382	0

total reads	27146
unrecognised reads	82
