marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	340	3256	3256	0	3271	3271	0	3265	3265	0
Am-AG-10	45	558	558	0	564	564	0	566	564	2
Am-AG-11	106	785	785	0	788	788	0	837	835	2
Am-AG-2B	429	4714	4713	1	4753	4752	1	4733	4732	1
Am-AG-4B	155	1479	1479	0	1504	1503	1	1486	1485	1
Am-ATC-2	7	18	18	0	18	18	0	32	32	0
Am-ATC-3	51	457	457	0	461	460	1	458	458	0
Am-CT-2	3	7	7	0	7	7	0	7	7	0
Am-CT-5	2	3	3	0	4	3	1	4	4	0
Arm01	61	1013	1013	0	1025	1025	0	1023	1023	0
Arm02	8	22	22	0	24	24	0	24	24	0
Arm03	0	0	0	0	144	144	0	0	0	0
Arm04	7	11	11	0	14	13	1	12	12	0
Arm05	3	7	7	0	7	7	0	7	7	0
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	4	50	50	0	50	50	0	51	51	0
Arm09	0	0	0	0	0	0	0	5	5	0
Arm10	174	2854	2854	0	2879	2879	0	2864	2864	0
Arm11	7	26	26	0	26	26	0	26	26	0
Armo01	3	14	14	0	44	44	0	47	47	0
Armo02	0	0	0	0	133	133	0	273	273	0
Armo03	0	0	0	0	1	1	0	0	0	0

total reads	15800
unrecognised reads	4
