marker	unique_seqs	tPaired	fPaired	rPaired	tLeft	fLeft	rLeft	tRight	fRight	rRight
Am-AG-1	506	4570	1	4569	4596	1	4595	5873	2	5871
Am-AG-10	178	1550	0	1550	1667	2	1665	2050	0	2050
Am-AG-11	272	3195	0	3195	5923	0	5923	3987	12	3975
Am-AG-2B	19	78	0	78	116	0	116	551	1	550
Am-AG-4B	308	3161	0	3161	3566	1	3565	4620	0	4620
Am-ATC-2	3	4	0	4	9	0	9	203	11	192
Am-ATC-3	147	1333	0	1333	1339	0	1339	1367	0	1367
Am-CT-2	147	729	1	728	731	1	730	750	1	749
Am-CT-5	5	5	0	5	17	1	16	30	0	30
Arm01	73	659	0	659	1148	0	1148	755	1	754
Arm02	218	1610	1	1609	1681	1	1680	1809	5	1804
Arm03	1	1	0	1	801	1	800	1	0	1
Arm04	17	48	0	48	57	1	56	66	0	66
Arm05	3	4	0	4	4	0	4	6	1	5
Arm06	0	0	0	0	0	0	0	0	0	0
Arm07	0	0	0	0	0	0	0	0	0	0
Arm08	2	5	0	5	113	0	113	116	2	114
Arm09	0	0	0	0	3	0	3	408	0	408
Arm10	194	3249	0	3249	3316	0	3316	3299	0	3299
Arm11	31	281	0	281	285	0	285	283	0	283
Armo01	1	1	0	1	1	0	1	1	0	1
Armo02	0	0	0	0	4	3	1	391	0	391
Armo03	2	2	0	2	66	6	60	382	0	382

total reads	27146
unrecognised reads	137
